disease,precaution_en,precaution_hi,precaution_ta
hypertension,Manage stress,तनाव का प्रबंधन करें,மன அழுத்தத்தை நிர்வகிக்கவும்
measles,Isolate to prevent spread,फैलने से रोकने के लिए अलग करें,பரவுவதைத் தடுக்க தனிமைப்படுத்தவும்
measles,Rest and hydrate,आराम करें और हाइड्रेट करें,ஓய்வெடுக்கவும் மற்றும் திரவம் குடிக்கவும்
measles,Take fever reducers,बुखार कम करने वाली दवाएं लें,காய்ச்சல் குறைக்கும் மருந்துகளை எடுக்கவும்
mumps,Apply warm or cold compresses,गर्म या ठंडी सिकाई करें,சூடான அல்லது குளிர்ந்த ஒத்தடம் கொடுக்கவும்
mumps,Eat soft foods,नरम खाद्य पदार्थ खाएं,மென்மையான உணவுகளை சாப்பிடவும்
mumps,Isolate and rest,अलग रहें और आराम करें,தனிமைப்படுத்தி ஓய்வெடுக்கவும்
peanut allergy,Avoid peanut-containing foods,मूंगफली युक्त खाद्य पदार्थों से बचें,வேர்க்கடலை அடங்கிய உணவுகளை தவிர்க்கவும்
peanut allergy,Carry an epinephrine autoinjector,एक एपिनेफ्रीन ऑटोइंजेक्टर साथ रखें,எபினெஃப்ரின் ஆட்டோஇன்ஜெக்டரை எடுத்துச் செல்லவும்
peanut allergy,Read food labels carefully,खाद्य लेबलों को ध्यान से पढ़ें,உணவு லேபிள்களை கவனமாக படிக்கவும்
peptic ulcer,Take antacids or prescribed medication,एंटासिड या निर्धारित दवा लें,ஆண்டாசிட்கள் அல்லது பரிந்துரைக்கப்பட்ட மருந்துகளை எடுக்கவும்
peptic ulcer,Avoid spicy and acidic foods,मसालेदार और अम्लीय खाद्य पदार्थों से बचें,காரமான உணவுகளை தவிர்க்கவும்
peptic ulcer,Avoid smoking and alcohol,धूम्रपान और शराब से बचें,புகைபிடித்தல் மற்றும் மதுபானத்தை தவிர்க்கவும்
pneumonia,Get plenty of rest,खूब आराम करें,நிறைய ஓய்வெடுக்கவும்
pneumonia,Take prescribed antibiotics/medicine,निर्धारित एंटीबायोटिक्स दवाएं लें,பரிந்துரைக்கப்பட்ட மருந்துகளை எடுக்கவும்
pneumonia,Drink warm fluids,गर्म तरल पदार्थ पिएं,வெதுவெதுப்பான திரவங்களை குடிக்கவும்
rubella,Isolate from pregnant women,गर्भवती महिलाओं से अलग रहें,கர்ப்பிணிப் பெண்களிடமிருந்து விலகி இருக்கவும்
rubella,Rest and hydrate,आराम करें और हाइड्रेट करें,ஓய்வெடுக்கவும் மற்றும் நீர் குடிக்கவும்
rubella,Take fever medication if needed,जरूरत पड़ने पर बुखार की दवा लें,தேவைப்பட்டால் காய்ச்சல் மருந்து எடுக்கவும்
tonsillitis,Drink warm or very cold liquids,गर्म या बहुत ठंडे तरल पदार्थ पिएं,மிதமான சூடான அல்லது குளிர்ந்த திரவங்களை குடிக்கவும்
tonsillitis,Gargle with warm saltwater,गर्म खारे पानी से गरारे करें,உப்பு நீரில் வாய் கொப்பளிக்கவும்
tonsillitis,Rest your voice,अपनी आवाज को आराम दें,உங்கள் குரலுக்கு ஓய்வு கொடுக்கவும்
tuberculosis,Complete long-term medication,लंबे समय तक चलने वाली दवा पूरी करें,நீண்ட கால மருந்துகளை முழுமையாக எடுக்கவும்
tuberculosis,Cover mouth when coughing,खांसते समय मुंह ढकें,இருமும்போது வாயை மூடிக்கொள்ளவும்
tuberculosis,Keep rooms well-ventilated,कमरों को हवादार रखें,அறைகளில் நல்ல காற்றோட்டம் இருக்க செய்யவும்
whooping cough,Get medical attention,चिकित्सीय ध्यान प्राप्त करें,மருத்துவ கவனிப்பை பெறவும்
whooping cough,Rest and drink fluids,आराम करें और तरल पदार्थ पिएं,ஓய்வெடுக்கவும் மற்றும் திரவங்களை குடிக்கவும்
whooping cough,"Eat small, frequent meals","छोटे, लगातार भोजन करें",சிறிய அளவிலான உணவை அடிக்கடி சாப்பிடவும்
